"Temperature, (F)","Solution Gas Oil Ratio, (SCF/STB)","Gas Specific Gravity, (-)","API, (-)","Oil Specific Gravity, (-)","Oil Formation Volume Factor, (bbl/STB)","Bubble Point Pressure, (Psi)"
350.93,72.047,0.701,40.43,0.823,1.298,1014.974105
187,198,0.775,29.2,0.881,1.139,1271
237,166,1.6281,39.5,0.827,1.248,415
248,381,1.3539,37.2,0.839,1.378,1015
237,357,1.2435,39.5,0.827,1.349,1295
193,1052,0.767,37.35,0.838,1.577,4011
216,1408,0.838,33.9,0.856,1.801,3840
175,730,0.757,33.1,0.86,1.392,3180
349.82,30.98,0.617,28.39,0.885,1.107,1014.974105
190,951,1.0676,30.94,0.871,1.5398,3566
190,765,1.0681,29.81,0.877,1.4365,3009
325.93,3.602,0.68,15.74,0.961,1.041,185.9963978
155,103,1.335,25.4,0.902,1.108,290
323.71,6.484,0.577,20.49,0.931,1.044,315.0219713
135,900.45,1.0029,32.84,0.861,1.436,3476.5
248,490,1.4923,38.5,0.832,1.438,1115
230,333,1.055,28.21,0.886,1.322,1030
188,225,1.9298,42.6,0.813,1.247,315
185,944.2,1.0535,30.81,0.872,1.5312,3630
296,760,2.0951,39.9,0.826,1.832,815
130,29,1.185,23.6,0.912,1.047,161
100,469,0.824,28.8,0.883,1.228,1928
217,419,1.2671,41,0.82,1.363,1115
222,1321,1.2613,29,0.882,1.94,2949
135,782.64,0.971,30.55,0.873,1.3764,3217
323.71,1.441,0.592,20.49,0.931,1.023,84.99211564
220,181,1.278,35.01,0.85,1.238,590
100,1087,1.056,38,0.835,1.533,1766
175,665,0.766,30.8,0.872,1.34,3003
185,692,0.876,41.9,0.816,1.406,2124
232,342,1.5808,39.9,0.826,1.348,715
120,585,0.815,33.3,0.859,1.286,2148
100,412,0.973,31,0.871,1.216,1180
240,408,0.856,37.76,0.836,1.393,2020
200,848.9,1.076,29.59,0.878,1.4896,3413
100,867,0.799,35.4,0.848,1.384,2804
255,656,1.7224,39.2,0.829,1.553,1242
349.82,17.832,0.641,28.39,0.885,1.079,515.0290147
145,1579,0.93,42.8,0.812,1.852,2896
185,417,0.98,31.2,0.87,1.267,1472
80,692,0.876,41.9,0.816,1.313,1641
125,755,1.004,39.3,0.828,1.387,1603
255,294,2.3952,39.2,0.829,1.405,245
186,501,0.7,34.97,0.85,1.333,2646
174,267,0.884,31.4,0.869,1.173,1220
353.15,52.234,0.929,43.62,0.808,1.269,315.0219713
224,274,1.005,39.8,0.826,1.168,790
255,586,1.4828,38.1,0.834,1.503,1455
296,884,1.9533,39.9,0.826,1.91,1115
170,818,0.789,34.2,0.854,1.427,3155
215,397,0.941,41.8,0.817,1.259,1728
135,901.3,0.9802,31.89,0.866,1.43,3539
248,413,1.6682,38.1,0.834,1.6682,865
235,1579,0.93,42.8,0.812,1.997,3405
296,1977,1.4071,39.9,0.826,2.619,2883
212,490,0.959,31.71,0.867,1.342,1401
250,816,0.873,31.29,0.869,1.571,2425
248,230,2.1583,38.1,0.834,2.1583,265
255,156,2.409,38.1,0.834,2.409,145
190,900.5,1.061,32.29,0.864,1.5062,3465
230,941,1.036,36.63,0.842,1.677,2568
255,257,2.531,39.2,0.829,1.378,160
275,587,1.116,39.6,0.827,1.523,1360
217,316,1.4037,41,0.82,1.3,715
145,79,1.146,23.5,0.913,1.08,327
135,897.39,0.9901,32.88,0.861,1.4379,3476.5
100,693,0.774,33.2,0.859,1.349,2530
100,679,0.778,32,0.865,1.315,2607
140,61,1.272,26.2,0.897,1.066,240
230,494,0.677,44.5,0.804,1.315,2081
190,446,0.98,35.4,0.848,1.335,1141
100,29,1.185,23.6,0.912,1.032,148
180,1042,1.0007,31.71,0.867,1.234,3940
188,404,0.847,42.9,0.811,1.265,1620
120,514,0.819,29.85,0.877,1.259,1992
350.93,100.326,0.685,40.43,0.823,1.372,1515.064232
245,546,0.689,45.2,0.801,1.451,2274
190,1579,0.93,42.8,0.812,1.92,3201
80,189,1.031,27.9,0.888,1.102,697
145,266,1.192,37.3,0.838,1.191,601
160,61,1.272,26.2,0.897,1.086,255
252,601,2.0267,43.8,0.807,2.0627,665
120,864.3,1.223,32.75,0.861,1.5044,3320
246,515,1.4422,38.8,0.831,1.463,1315
135,1376,0.521,34,0.855,1.617,4932
200,1076,1.0287,31.73,0.867,1.5933,4067
190,956.79,1.0789,30.05,0.876,1.5311,3617
254,588,1.9736,42.2,0.815,1.639,715
225,1507,0.951,39.3,0.828,1.875,3573
100,46,1.105,38.9,0.83,1.039,174
182,151,1.887,42.1,0.815,1.213,185
100,1602,0.96,44.6,0.804,1.789,2350
229,239,1.8545,40.5,0.823,1.282,465
248,192,2.2297,38.5,0.832,1.278,183
230,1008,0.841,37.5,0.837,1.65,2944
182,335,1.6583,42.1,0.815,1.296,915
360.37,19.813,0.564,21.64,0.924,1.066,814.9670611
281,248,3.4445,31.9,0.866,1.351,615
248,519,1.5069,38.1,0.834,1.5069,1265
188,419,1.4231,42.6,0.813,1.335,1115
175,580,0.802,38.1,0.834,1.316,2230
244,542,1.3248,37.5,0.837,1.456,1569
155,141,1.072,27.5,0.89,1.125,545
135,901.4,0.948,32.37,0.864,1.4336,3581
185,425,1.155,41,0.82,1.249,1414
165,591.7,0.889,34.12,0.854,1.35,2181
211,260,1.168,38,0.835,1.17,1225
203,773,1.011,32.27,0.864,1.447,2724
182,250,1.5269,42.1,0.815,1.258,515
239,583,1.054,32.2,0.864,1.475,1591
252,850,1.7173,43.8,0.807,1.7173,1265
296,317,2.98,39.9,0.826,1.504,104
100,775,0.783,34.4,0.853,1.352,2789
150,746,0.907,36.1,0.844,1.398,2231
165,795,0.852,35.36,0.848,1.445,2967
255,517,1.5577,38.1,0.834,1.467,1215
231,1170,0.851,48.9,0.784,1.884,2555
182,192,1.7078,42.1,0.815,1.235,315
248,316,1.818,38.5,0.832,1.35,515
165,44,1.05,30.2,0.875,1.072,238
153,305,0.918,36.95,0.84,1.223,1257
160,232,0.989,27.2,0.892,1.152,874
296,470,2.5585,39.9,0.826,1.633,549
218,1260,0.851,36.55,0.842,1.711,3798
100,61,1.272,26.2,0.897,1.047,214
100,805,0.929,39.1,0.829,1.387,1847
249,1452,1.034,47.61,0.79,1.901,3132
248,273,1.5264,37.2,0.839,1.322,615
229,948.2,1.061,37.19,0.839,1.619,2482
150,600,0.65,35.96,0.845,1.33,2956
100,585,0.815,33.3,0.859,1.272,2035
234,409,1.087,29.5,0.879,1.328,1110
205,313,1.174,38.2,0.834,1.192,1370
252,517,2.1753,43.8,0.807,2.1753,465
213,392,1.061,34.17,0.854,1.305,1065
174,626,0.851,39.58,0.827,1.369,2287
135,795.6,0.9815,32.1,0.865,1.3902,3125
243,765,0.923,31.8,0.867,1.556,2254
252,347,2.5466,43.8,0.807,2.5466,170
180,585,0.815,33.3,0.859,1.329,2445
180,242,0.824,31.4,0.869,1.17,1302
220,381,1.126,21.47,0.925,1.295,1626
250,645,1.256,30.77,0.872,1.518,1804
217,512,1.1836,41,0.82,1.416,1512
150,1143,0.951,39.4,0.828,1.599,2344
185,700,0.774,32.2,0.864,1.384,3155
232,496,1.3898,39.9,0.826,1.431,1315
190,694,0.79,49.5,0.782,1.48,1755
220,963,0.865,36.79,0.841,1.572,2509
255,204,2.2229,38.1,0.834,2.2229,245
220,457,1.05,36,0.845,1.412,1197
224,686,0.8,47.1,0.792,1.496,1790
206,364,1.028,36.6,0.842,1.232,1700
150,805,0.929,39.1,0.829,1.432,2133
237,126,1.7897,39.5,0.827,1.225,265
196,463,1.281,38.9,0.83,1.261,1562
187,169,0.638,29.1,0.881,1.128,1085
200,735,1.0923,26.65,0.895,1.436,2176
200,848.7,1.043,30.45,0.874,1.4879,3418
100,331,0.921,28.4,0.885,1.156,1180
218,1325,0.844,36.55,0.842,1.816,3954
160,1203,0.925,40.2,0.824,1.642,2831
135,1195,0.772,33.61,0.857,1.568,4268
246,635,1.3362,38.8,0.831,1.524,1773
281,2496,1.1545,31.9,0.866,2.413,4975
120,722.68,1.0396,29.72,0.878,1.3369,2683
175,700,0.774,32.2,0.864,1.376,3101
145,421,0.799,21.9,0.922,1.213,2177
325.93,1.261,0.59,15.74,0.961,1.036,58.015096
190,1031.9,1.0024,31.48,0.868,1.5596,4018
323.71,3.242,0.582,20.49,0.931,1.03,165.0529481
135,994.3,0.9566,32.73,0.862,1.4708,3844
360.37,6.124,0.577,21.64,0.924,1.037,215.0039458
120,699,1.008,31.18,0.87,1.3281,2673
190,760.06,1.1088,28.99,0.882,1.4642,2969
244,147,2.209,37.5,0.837,1.241,187
237,130,2.55,39.4,0.828,1.238,79
190,433,1.188,31.2,0.87,1.268,1095
100,742,0.752,32.6,0.862,1.327,2865
222,670,1.664,29,0.882,1.541,1015
150,898,0.802,32.7,0.862,1.451,3426
323.71,4.863,0.579,20.49,0.931,1.037,244.9687429
208,359,1.25,35.4,0.848,1.214,1450
224,415,1.14,36.1,0.844,1.246,1982
190,735,1.1101,28.33,0.885,1.4523,2880
180,1057.76,1.035,31.05,0.871,1.568,3960
175,898,0.802,32.7,0.862,1.471,3571
135,521,0.801,30.1,0.876,1.257,2259
220,889,0.899,39.6,0.827,1.602,2417
185,937.6,1.0535,30.99,0.871,1.5495,3632.5
347.6,44.849,0.61,28.57,0.884,1.149,1315.057189
130,469,0.96,36.5,0.842,1.246,1193
222,937,1.4356,29,0.882,1.681,1815
333.71,14.049,0.612,24.17,0.909,1.061,464.9909944
248,376,1.6801,38.5,0.832,1.38,715
211,267,1.263,38,0.835,1.176,1225
190,963.1,1.014,31.2,0.87,1.5123,3824
160,104,1.126,27.49,0.89,1.098,408
237,470,1.5337,39.4,0.828,1.418,1226
160,331,0.921,28.4,0.885,1.21,1377
217,468,1.2194,41,0.82,1.391,1315
353.15,209.657,0.726,43.62,0.808,1.723,2314.947368
170,755,1.004,39.3,0.828,1.425,1834
248,360,1.7782,38.1,0.834,1.7782,665
150,560,1.002,38.6,0.832,1.327,1477
214,664,0.75,42.9,0.811,1.438,2194
185,979,1.026,31.54,0.868,1.5398,3794
244,474,1.3929,37.5,0.837,1.423,1315
232,408,1.069,30.2,0.875,1.346,1104
175,825,0.779,34.2,0.854,1.425,3311
188,509,1.3058,42.6,0.813,1.373,1515
125,44,1.05,30.2,0.875,1.052,214
110,521,0.801,30.1,0.876,1.24,2132
200,849.3,1.0721,29.63,0.878,1.4924,3401
248,663,1.3205,38.5,0.832,1.522,1725
220,692,0.74,53.2,0.766,1.471,2111
237,236,1.4307,39.5,0.827,1.287,715
229,435,1.403,40.5,0.823,1.375,1316
130,61,1.356,25.4,0.902,1.059,186
244,631,1.047,33.42,0.858,1.489,1625
175,775,0.783,34.4,0.853,1.413,3228
189,522,0.73,47.8,0.789,1.365,1510
248,547,1.4241,38.5,0.832,1.465,1315
207,366,1.315,39,0.83,1.241,1570
185,597.7,0.937,24.08,0.909,1.363,2747
160,811,0.812,36.5,0.842,1.421,2941
135,681.2,1.0066,28.09846605,0.887,1.3444,2875
185,1024.4,0.9965,31.80063474,0.866,1.5948,3874
200,1070,1.013,31.61239193,0.868,1.6053,4056
190,1042.8,1.016,31.46210987,0.868,1.5776,4036
199,628,0.762,48.4,0.787,1.442,1758
232,288,1.8442,39.9,0.826,1.286,315
250,1146.7,1.04,29.73518687,0.878,1.568,4190
226,956,0.811,43.2,0.81,1.538,2390
200,599.12,0.917,22.17,0.921,1.417,2880
250,2249,1.608,56.5,0.753,2.916,2885
232,395,1.5022,39.9,0.826,1.376,915
237,268,1.3687,39.5,0.827,1.303,865
80,755,1.004,39.3,0.828,1.347,1367
135,960.4,0.963,32.8437863,0.861,1.4583,3814
125,898,0.802,32.7,0.862,1.43,3279
239,466,0.972,38.98192771,0.83,1.36,2200
140,585,0.815,33.3,0.859,1.3,2256
160,803,1.013,36.2,0.844,1.452,2016
175,498,0.798,30.1,0.876,1.279,2365
213,439,1.145,32.10272864,0.865,1.345,1325
215,364,0.987,28.40507402,0.885,1.29,1261
200,757.6,1.0913,26.00222618,0.898,1.4409,3339
244,318,1.6421,37.5,0.837,1.344,715
222,506,1.8954,29,0.882,1.467,615
231,1784,0.827,36.15402844,0.844,2.055,4640
359.82,70.606,0.664,35.75768322,0.846,1.271,1465.026212
120,127,1.025,25.1,0.904,1.096,515
200,589.61,0.927,22.91,0.916,1.417,2878
228,1102,0.861,40.28584436,0.824,1.707,3187
144,571,0.61,30.58476518,0.873,1.278,3233
140,811,0.812,36.5,0.842,1.403,2836
237,433,1.5922,39.4,0.828,1.401,1065
190,61,1.356,25.4,0.902,1.09,236
130,417,0.98,31.2,0.87,1.229,1265
248,144,1.8583,37.2,0.839,1.246,227
245,1314.4,0.92,30.93,0.871,1.843,3943
100,580,0.802,38.1,0.834,1.259,1890
229,145,2.3003,40.5,0.823,1.227,163
160,412,0.973,31,0.871,1.259,1405
353.15,162.646,0.727,43.62376238,0.808,1.587,1815.002278
229,182,2.0949,40.5,0.823,1.25,265
234,741,0.795,42,0.816,1.491,2562
135,779.9,0.9946,30.97559995,0.871,1.3844,3115
188,165,2.245,42.6,0.813,1.215,170
211,372,1.195,31,0.871,1.222,1760
220,158,1.308,27.1,0.892,1.169,477
100,433,1.188,31.2,0.87,1.215,804
165,764,0.96,32.65313225,0.862,1.478,2267
135,707.1,1.0177,27.34598114,0.891,1.3485,3042
216,265,1.144,29.40516261,0.879,1.252,710
229,335,1.5762,40.5,0.823,1.329,865
254,505,2.1152,42.2,0.815,1.588,515
120,710,0.999,31.29337322,0.869,1.3545,2727
350.93,162.286,0.685,40.43195626,0.823,1.527,2514.954412
185,825,0.779,34.2,0.854,1.431,3354
205,44,1.05,30.2,0.875,1.093,261
100,417,0.98,31.2,0.87,1.208,1153
150,433,1.188,31.2,0.87,1.245,966
333.71,8.285,0.631,24.16556656,0.909,1.048,264.983951
218,1016,0.942,36.81212085,0.841,1.686,2768
240,1143,0.951,39.4,0.828,1.682,2845
160,104,1.126,27.4,0.89,1.098,408
175,693,0.774,33.2,0.859,1.406,2925
130,975,0.825,34.19086651,0.854,1.509,3078
150,571.41,0.877,34.47,0.853,1.342,2110
150,160,1.265,21.1429342,0.927,1.132,560
248,152,2.412,38.5,0.832,1.248,113
190,968.9,1.039,30.38079167,0.874,1.5377,3788
359.82,56.557,0.676,35.75768322,0.846,1.239,1115.050145
100,580,0.802,38.16426859,0.834,1.259,1890
120,704.42,1.0364,29.82710067,0.877,1.3496,2794
219,886,0.806,40.30670228,0.824,1.536,3212
246,468,1.4985,38.8,0.831,1.436,1115
200,736.6,1.0886,26.52993076,0.895,1.4299,3183
188,330,1.5954,42.6,0.813,1.298,715
100,818,0.789,34.2,0.854,1.365,2900
190,898.9,1.0502,32.19736233,0.864,1.5052,3466
180,412,0.973,31,0.871,1.28,1480
245,1340,1.0713,29.3,0.88,1.921,3280
217,259,1.5126,41,0.82,1.278,515
238,547,0.693,45.3,0.8,1.362,2221
232,550,1.3428,39.9,0.826,1.46,1525
188,280,1.7311,42.6,0.813,1.275,515
190,45,1.123,21.8,0.923,1.079,263
245,1320.6,0.928,30.65,0.873,1.819,3945
232,730,0.68,45.59637046,0.799,1.674,2650
347.6,31.16,0.618,28.5678733,0.884,1.115,814.9670611
120,126,1.224,30.02968037,0.876,1.102,350
235,242,1.12,30.1034719,0.876,1.24,901
190,968.7,1.0375,30.52908508,0.873,1.525,3783
248,328,1.4272,37.2,0.839,1.352,815
200,864,1.0534,30.47344322,0.874,1.4897,3426
160,39,1.251,19.4,0.938,1.061,205
232,446,1.4407,39.9,0.826,1.403,1115
222,1074,1.3595,29,0.882,1.753,2215
255,280,1.9971,38.1,0.834,1.9971,415
220,406,1.048,34.50187705,0.852,1.334,1179
74,560,1.002,38.6,0.832,1.269,1137
190,1111.3,1.032,30.86374068,0.871,1.6069,4246
187,552,0.7,34.97058824,0.85,1.359,2926
189,606,0.77,50.5,0.777,1.423,1810
212,405,1.079,29.66173121,0.878,1.322,1207
185,265,1.058,22.8,0.917,1.18,1094
254,744,1.7673,42.2,0.815,1.73,1115
165,168,1.367,30.5,0.873,1.148,392
100,1203,0.925,40.2,0.824,1.576,2413
244,371,1.5385,37.5,0.837,1.371,915
248,486,1.2468,37.2,0.839,1.432,1415
347.6,75.289,0.62,28.5678733,0.884,1.22,2314.947368
105,266,1.192,37.3,0.838,1.163,518
296,379,2.7812,39.9,0.826,1.599,152
250,1246,0.91,39.60036276,0.827,1.852,3200
190,775,1.1037,29.84549601,0.877,1.45,3075
120,870,0.9836,32.51993741,0.863,1.4143,3243
237,92,1.97,39.5,0.827,1.2,162
360.37,15.31,0.566,21.63852814,0.924,1.058,614.9600176
130,849,0.825,38.77677497,0.831,1.397,2890
190,862.56,1.064,29.36857663,0.88,1.488,3499
229,882,1.063,35.20593779,0.849,1.62,2310
205,168,1.367,30.5,0.873,1.173,444
135,795,0.9944,31.83833545,0.866,1.3865,3112
185,654,0.862,25.02654867,0.904,1.367,3189
237,202,1.5137,39.5,0.827,1.268,565
130,412,0.973,31,0.871,1.238,1292
188,556,1.2595,42.6,0.813,1.394,1717
218,1295,0.831,33.99707602,0.855,1.227,3647
120,554,0.872,25.32,0.902,1.272,2393
244,199,1.9937,37.5,0.837,1.277,315
200,746,0.907,36.1,0.844,1.44,2521
200,26,1.182,29.2,0.881,1.083,163
160,302,0.931,28.9,0.882,1.188,1230
165,266,1.192,37.3,0.838,1.22,642
160,521,0.801,30.1,0.876,1.274,2359
232,180,2.037,39.9,0.826,1.253,185
130,45,1.123,21.8,0.923,1.051,231
100,302,0.931,28.9,0.882,1.152,1061
120,39,1.251,19.4,0.938,1.045,179
254,666,1.8614,42.2,0.815,1.685,915
130,141,1.072,27.5,0.89,1.11,508
140,683,0.869,26.37,0.896,1.363,2551
100,1151,0.894,39.9,0.826,1.548,2504
254,276,2.5868,42.2,0.815,1.411,135
234,737,0.936,34.50187705,0.852,1.533,2061
175,679,0.778,32,0.865,1.371,3057
281,407,2.5098,31.9,0.866,1.449,1215
296,1536,1.5337,39.9,0.826,2.331,2315
175,680,0.755,29.7,0.878,1.36,3090
203,421,1.298,37.1,0.839,1.221,1660
200,805,0.929,39.1,0.829,1.479,2392
193,1039,0.91,33.03488372,0.86,1.61,3320
185,79,1.146,23.5,0.913,1.099,370
248,432,1.5775,38.5,0.832,1.409,915
255,2266,0.849,36.79210276,0.841,2.422,3796
217,145,1.867,41,0.82,1.217,183
360.37,10.447,0.57,21.63852814,0.924,1.048,414.9529741
100,512,1.01,37,0.84,1.262,1159
140,867,0.799,35.4,0.848,1.42,3066
130,935.7,0.9283,33.30316795,0.859,1.4492,3640
281,827,1.6839,31.9,0.866,1.658,2615
160,61,1.356,25.4,0.902,1.075,211
100,265,1.058,22.8,0.917,1.132,847
100,196,0.942,32.1,0.865,1.097,696
190,895,1.0798,30.38079167,0.874,1.4929,3469
349.82,44.489,0.604,28.38700565,0.885,1.138,1515.064232
229,379,1.4905,40.5,0.823,1.35,1065
229,288,1.6918,40.5,0.823,1.306,665
120,648.25,1.0215,28.13447653,0.886,1.3117,2638
255,462,1.9093,39.2,0.829,1.501,815
237,158,2.4141,39.4,0.828,1.253,114
130,912,0.9569,32.93927949,0.86,1.4298,3528
250,523,0.838,35.59966934,0.847,1.422,1920
185,1002.1,0.9781,31.93266343,0.866,1.5678,3870
281,1074,1.441,31.9,0.866,1.777,3315
349.82,76.01,0.596,28.38700565,0.885,1.209,2514.954412
185,811,0.812,36.5,0.842,1.445,3057
353.15,90.239,0.773,43.62376238,0.808,1.369,814.9670611
135,705,0.905,29.66173121,0.878,1.369,2392
215,1485,0.792,32.08381503,0.87,1.801,5152
155,80,1.297,28.5,0.884375,1.091,236
200,891,0.975,28.0264938,0.887,1.38,4215
255,458,1.6374,38.1,0.834316038,1.436,1015
100,803,1.013,36.2,0.843768634,1.397,1631
